primary_type,title,authority_id,source,rules
agent_family,Gayner family,,local,
agent_family,Griffith family,http://id.loc.gov/authorities/subjects/sh85057346,lcsh,rda
agent_family,Webb family,http://id.loc.gov/authorities/subjects/sh85145877,lcsh,
agent_family,Holmes family,http://id.loc.gov/authorities/subjects/sh85061508,lcsh,
agent_family,St. Clair family,,local,
agent_family,Turner family,http://id.loc.gov/authorities/subjects/sh85138927,lcsh,
agent_family,Talcott family,http://id.loc.gov/authorities/subjects/sh96001129,lcsh,
agent_family,Howland family,http://id.loc.gov/authorities/subjects/sh85062665,lcsh,
agent_family,Kirby family,http://id.loc.gov/authorities/subjects/sh85072504,lcsh,
agent_family,Hunn family,,local,rda
agent_family,Haines family,,local,
agent_family,Gaskell family,http://id.loc.gov/authorities/subjects/sh90000624,lcsh,rda
agent_family,Hanbury family,,local,
agent_family,Gibbins family,,local,
agent_family,Aggs family,,local,
agent_family,Haviland family,http://id.loc.gov/authorities/subjects/sh85059337,lcsh,rda
agent_family,Penrose family,http://id.loc.gov/authorities/subjects/sh85099572,lcsh,
agent_family,Longstreth family,,local,rda
agent_family,Heacock family,http://id.loc.gov/authorities/subjects/sh95007847,lcsh,
agent_family,John family,http://id.loc.gov/authorities/subjects/sh85070625,lcsh,
agent_family,Fussell family,http://id.loc.gov/authorities/subjects/sh88007481,lcsh,
agent_family,Underwood family,http://id.loc.gov/authorities/subjects/sh85139633,lcsh,
agent_family,Livezey family,,local,
agent_family,Lundy family,http://id.loc.gov/authorities/subjects/sh97006491,lcsh,
agent_family,Lupton family,http://id.loc.gov/authorities/subjects/sh85078938,lcsh,
agent_family,Walker family,http://id.loc.gov/authorities/subjects/sh85144895,lcsh,
agent_family,Jackson family,http://id.loc.gov/authorities/subjects/sh85069202,lcsh,
agent_family,Magill family,,local,rda
agent_family,Kent family,http://id.loc.gov/authorities/subjects/sh85071953,lcsh,
agent_family,Maulsby family,,local,
agent_family,Webster family,http://id.loc.gov/authorities/subjects/sh85145887,lcsh,
agent_family,Maris family,http://id.loc.gov/authorities/subjects/sh85081297,lcsh,
agent_family,Maulsby-Albertson family,,local,rda
agent_family,Albertson family,,local,
agent_family,Michener family,http://id.loc.gov/authorities/subjects/sh89005384,lcsh,
agent_family,Tyson family,http://id.loc.gov/authorities/subjects/sh85139201,lcsh,
agent_family,Knight family,http://id.loc.gov/authorities/subjects/sh85072689,lcsh,
agent_family,Lamb family,http://id.loc.gov/authorities/subjects/sh86003451,lcsh,
agent_family,Booth family,http://id.loc.gov/authorities/subjects/sh85015778,lcsh,
agent_family,Miller family,http://id.loc.gov/authorities/subjects/sh85085392,lcsh,
agent_family,Lester family,http://id.loc.gov/authorities/subjects/sh88003933,lcsh,
agent_family,Merritt family,http://id.loc.gov/authorities/subjects/sh85083882,lcsh,
agent_family,Middleton family,http://id.loc.gov/authorities/subjects/sh85085031,lcsh,
agent_family,Thorne family,http://id.loc.gov/authorities/subjects/sh85134970,lcsh,
agent_family,Steward family,,local,
agent_family,Palmer family,http://id.loc.gov/authorities/subjects/sh85097236,lcsh,
agent_family,Hopper family,http://id.loc.gov/authorities/subjects/sh85061951,lcsh,
agent_family,Parvin family,http://id.loc.gov/authorities/subjects/sh85098418,lcsh,rda
agent_family,Kirk family,http://id.loc.gov/authorities/subjects/sh85072527,lcsh,
agent_family,Starr family,http://id.loc.gov/authorities/subjects/sh88006527,lcsh,
agent_family,Paschall family,http://id.loc.gov/authorities/subjects/sh85098430,lcsh,
agent_family,Postlethwaite family,http://id.loc.gov/authorities/subjects/sh99002897,lcsh,
agent_family,Prickett family,http://id.loc.gov/authorities/subjects/sh88000967,lcsh,
agent_family,Reifsnyder family,,local,
agent_family,Gillam family,http://id.loc.gov/authorities/subjects/sh85054942,lcsh,
agent_family,Conrad family,http://id.loc.gov/authorities/subjects/sh85031215,lcsh,
agent_family,Wilson family,http://id.loc.gov/authorities/subjects/sh85146828,lcsh,
agent_family,Preston family,http://id.loc.gov/authorities/subjects/sh85106569,lcsh,
agent_family,Longnecker family,,local,
agent_family,Longacre family,http://id.loc.gov/authorities/subjects/sh87000331,lcsh,
agent_family,Rodman-Rotch family,,local,rda
agent_family,Rodman family,http://id.loc.gov/authorities/subjects/sh85114822,lcsh,
agent_family,Rotch family,http://id.loc.gov/authorities/subjects/sh86004680,lcsh,
agent_family,Shoemaker family,http://id.loc.gov/authorities/subjects/sh85121731,lcsh,
agent_family,Lea family,,local,
agent_family,Walker-Conard-Cowgill family,,local,rda
agent_family,Coates family,http://id.loc.gov/authorities/subjects/sh85027502,lcsh,
agent_family,Conard family,,local,
agent_family,Cowgill family,http://id.loc.gov/authorities/subjects/sh85033646,lcsh,
agent_family,Walton family,http://id.loc.gov/authorities/subjects/sh85144991,lcsh,rda
agent_family,Wharton family,http://id.loc.gov/authorities/subjects/sh85146362,lcsh,
agent_family,Fisher family,http://id.loc.gov/authorities/subjects/sh85048665,lcsh,
agent_family,George family,http://id.loc.gov/authorities/subjects/sh85054200,lcsh,
agent_family,Malin family,,local,
agent_family,Price family,,local,rda
agent_family,Burdick family,http://id.loc.gov/authorities/subjects/sh91002587,lcsh,
agent_family,Gibbons family,http://id.loc.gov/authorities/subjects/sh85054856,lcsh,rda
agent_family,Emerson family,http://id.loc.gov/authorities/subjects/sh85042770,lcsh,rda
agent_family,Downing family,http://id.loc.gov/authorities/subjects/sh85039229,lcsh,rda
agent_family,Hoge family,,local,
agent_family,Biddle family,,local,
agent_family,Eyre family,,local,rda
agent_family,Blunston family,,local,
agent_family,Pearson family,http://id.loc.gov/authorities/subjects/sh85099041,lcsh,
agent_family,Murray family,http://id.loc.gov/authorities/subjects/sh85088642,lcsh,
agent_family,Ambler family,http://id.loc.gov/authorities/subjects/sh85004152,lcsh,rda
agent_family,Beaumont family,http://id.loc.gov/authorities/subjects/sh85012717,lcsh,rda
agent_family,Peel family,,local,rda
agent_family,Speers family,,local,rda
agent_family,Olmsted family,http://id.loc.gov/authorities/subjects/sh85094636,lcsh,rda
agent_family,Kester family,http://id.loc.gov/authorities/subjects/sh91003141,lcsh,rda
agent_family,Murphy family,http://id.loc.gov/authorities/subjects/sh85088640,lcsh,rda
agent_family,Carre family,,local,rda
agent_family,Birch family,,local,rda
agent_family,Caulk family,,local,rda
agent_family,Betterton family,http://id.loc.gov/authorities/subjects/sh97004112,lcsh,rda
agent_family,Jeffery family,,local,rda
agent_family,Guest family,http://id.loc.gov/authorities/subjects/sh85057700,lcsh,
agent_family,Jackson-Conard family,,local,rda
agent_family,Bowne family,,local,
agent_family,Townsend family,http://id.loc.gov/authorities/subjects/sh85136316,lcsh,
agent_family,Ellicott family,http://id.loc.gov/authorities/subjects/sh92005609,lcsh,
agent_family,Foster family,http://id.loc.gov/authorities/subjects/sh85051031,lcsh,
agent_family,Meyers family,http://id.loc.gov/authorities/subjects/sh85089229,lcsh,
agent_family,Field family,http://id.loc.gov/authorities/subjects/sh85048104,lcsh,
agent_family,Brooks family,http://id.loc.gov/authorities/subjects/sh85017206,lcsh,
agent_family,Tubby family,,local,
agent_family,King family,http://id.loc.gov/authorities/subjects/sh85072396,lcsh,
agent_family,Buffum family,http://id.loc.gov/authorities/subjects/sh85017650,lcsh,
agent_family,Cook family,http://id.loc.gov/authorities/subjects/sh85031763,lcsh,
agent_family,Noble family,http://id.loc.gov/authorities/subjects/sh85092146,lcsh,
agent_family,Chapman family,http://id.loc.gov/authorities/subjects/sh85022601,lcsh,
agent_family,Willets family,,local,
agent_family,Peaslee family,,local,
agent_family,Stubbs family,http://id.loc.gov/authorities/subjects/sh85129235,lcsh,rda
agent_family,Niles family,http://id.loc.gov/authorities/subjects/sh85091955,lcsh,
agent_family,Smedley family,,local,
agent_family,Whitson family,,local,
agent_family,Darlington family,,local,aacr2
agent_family,Gause family,,local,aacr2
agent_family,Shortlidge family,,local,aacr2
agent_family,Brinton family,http://id.loc.gov/authorities/subjects/sh86004626,lcsh,aacr2
agent_family,Wetherald family,,local,
agent_family,Mather family,http://id.loc.gov/authorities/subjects/sh85082188,lcsh,rda
agent_family,Painter family,http://id.loc.gov/authorities/subjects/sh85096652,lcsh,aacr2
agent_family,Minshall family,http://id.loc.gov/authorities/subjects/sh91004892,lcsh,aacr2
agent_family,Dillwyn family,http://id.loc.gov/authorities/subjects/sh95005665,lcsh,
agent_family,Frazier family,,local,
agent_family,Pusey family,http://id.loc.gov/authorities/subjects/sh97006123,lcsh,
agent_family,Baynes family,,local,
agent_family,Swayne family,,local,rda
agent_family,Sterling family,http://id.loc.gov/authorities/subjects/sh85128038,lcsh,
agent_family,Thornton family,http://id.loc.gov/authorities/subjects/sh85134976,lcsh,
agent_family,White family,http://id.loc.gov/authorities/subjects/sh85146475,lcsh,rda
agent_family,Nixon family,http://id.loc.gov/authorities/subjects/sh97001727,lcsh,
agent_family,Fletcher family,http://id.loc.gov/authorities/subjects/sh85049086,lcsh,
agent_family,Stevens family,http://id.loc.gov/authorities/subjects/sh85128074,lcsh,rda
agent_family,Hadley family,http://id.loc.gov/authorities/subjects/sh85058205,lcsh,
agent_family,Robbins family,http://id.loc.gov/authorities/subjects/sh85114601,lcsh,
agent_family,Thorp family,http://id.loc.gov/authorities/subjects/sh85134983,lcsh,
agent_family,Masters family,http://id.loc.gov/authorities/subjects/sh88004038,lcsh,
agent_family,Allison family,,lcsh,
agent_family,Acroyd family,,lcsh,rda
agent_family,Sharps family,,lcsh,
agent_family,Braithwaite family,,lcsh,rda
agent_family,Dickinson family,,lcsh,
agent_family,Rakestraw family,,lcsh,
agent_family,Bushong family,,lcsh,
agent_family,Farris family,,lcsh,
agent_family,Carter family,,lcsh,
agent_family,Cadbury family,,lcsh,
agent_family,Comly family,,lcsh,rda
agent_family,Parker family,,lcsh,
agent_family,Pratt family,,lcsh,
agent_family,Pownall family,,lcsh,
agent_family,Gest family,,lcsh,
agent_family,Garrigues family,,lcsh,
agent_family,Lewis family,,lcsh,
agent_family,Sellers family,,lcsh,
agent_family,Hallowell family,,lcsh,
agent_family,Haynes family,,lcsh,
agent_family,Moore family,,lcsh,
agent_family,Logan family,,lcsh,
agent_family,Hicks family,,lcsh,
agent_family,Bourne family,,lcsh,
agent_family,Hobson family,,lcsh,
agent_family,Minthorn family,,lcsh,
agent_family,Howell family,,lcsh,
agent_family,Heald family,,lcsh,
agent_family,Rasin family,,lcsh,
agent_family,Hill family,,lcsh,
agent_family,Shaw family,,lcsh,
agent_family,Shepard family,,lcsh,
agent_family,Kirkbride family,,lcsh,
agent_family,Hooton family,,lcsh,
agent_family,Hunt family,,lcsh,
agent_family,Rhodes family,,lcsh,
agent_family,Cleaver family,,lcsh,
agent_family,Paxson family,,lcsh,
agent_family,French family,,lcsh,
agent_family,Reckitt family,,lcsh,
