id	label	Gender	Occupations	Subjects	Monthly Meeting	
w6tq8ftp	Buzby, Hannah Warrington, 1734-1819	Female	Quakers	Quakers;Society of Friends	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6r032ff	Hilliard, Reuben, 1769-1812	Male	Quakers;Clergy	Society of Friends;Lay ministry--Society of Friends;Quakers;Society of Friends--Clergy	Salem Monthly Meeting (Society of Friends : 1676-1827);Mount Holly Monthly Meeting of Friends	
w6rg6kjz	Evans, Thomas, 1693-1783	Male	Quakers;Clergy	Society of Friends--Clergy;Quakers;Society of Friends;Lay ministry--Society of Friends	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827);Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w63s1jcm	Hollinshead, Edmund, 1749-1809	Male	Quakers	Quakers;Society of Friends	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.);Chester Monthly Meeting (Society of Friends : 1681-1827)	
w6g77m31	Yarnall, Hannah Haines Thornton, 1765-1822	Female	Clergy;Quakers;Women clergy	Society of Friends--Clergy;Women clergy;Quaker women;Lay ministry--Society of Friends;Society of Friends;Ministers (Clergy);Quakers;Clergy;Clergy--Travel;Women--Travel--History--19th century	Byberry Monthly Meeting of the Religious Society of Friends	
w6b01gx6	Cox, John, approximately 1754-1847	Male	Quakers;Clergy;Slaveholders	Society of Friends--Clergy;Society of Friends;Quakers;Slavery and the church--Society of Friends;Society of Friends--Lay ministry	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6427nc6	Savery, William, 1750-1804	Male	Tanners;Quakers;Clergy	Society of Friends--Indian affairs;Society of Friends;Church work with Indians--Society of Friends;Quakers;Society of Friends--Clergy;Lay ministry--Society of Friends;Slavery and the church--Society of Friends	Monthly Meeting of Friends of Philadelphia for the Northern District	
w6j49htj	Lippincott, John, 1737-1780	Male	Quakers	Quakers;Society of Friends;Elders (Church officers)	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w68m543d	Simpson, John, 1740-1811	Male	Clergy;Quakers	Society of Friends--Clergy;Society of Friends--Lay ministry;Quakers	Falls Monthly Meeting (Society of Friends);Buckingham Monthly Meeting of Friends	
w6j20tpc	Dudley, Thomas, 1741-1829	Male	Quakers	Society of Friends;Quakers	Unknown	
w63s1j4g	Gaskill, Solomon, approximately 1728-1793	Male	Quakers;Clergy	Society of Friends--Clergy;Clergy;Blind;Society of Friends;Lay ministry--Society of Friends;Quakers	Mount Holly Monthly Meeting of Friends	
w6gb2s37	Redman, Thomas, 1742-1823	Male	Quakers;Clergy	Lay ministry--Society of Friends;Quakers--Journals;Quakers;Society of Friends--Clergy	Unknown	
w6r525r2	Wills, Aaron, 1734-1805	Male	Quakers;Elders	Society of Friends;Quakers	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w65147nn	Routh, Martha Winter, 1743-1817	Female	Quakers;Clergy;Women clergy	Manuscripts--English;Lay ministry--Society of Friends;Voyages and travels;Quaker women;Quakers;Clergy--Travel;Society of Friends	Unknown	
w6165774	Collins, John, 1750-1817	Male	Quakers	Quakers;Society of Friends	Chester Monthly Meeting (Society of Friends : 1803-1827 : Moorestown, N.J.)	
w6wq14dj	Emlen, Samuel, 1730-1799	Male	Clergy;Missionaries;Quakers	Indians of North America;Abolitionists;Society of Friends;Napoleonic Wars, 1800-1815;Clergy--Travel;Voyages and travels;Native Americans;United States--History--Colonial period, ca. 1600-1775;Lay ministry--Society of Friends;Society of Friends--Clergy;Yellow fever;Quakers	Monthly Meeting of Friends of Philadelphia for the Northern District;Monthly Meeting of Friends of Philadelphia	
w6gq882n	Jordan, Richard, 1756-1826	Male	Quakers;Clergy	Society of Friends--Clergy;Quakers;Clergy--Travel;Society of Friends--Lay ministry;Society of Friends	Unknown	
w6xf1s5t	Lindley, Jacob, 1744-1814	Male	Clergy;Quakers	Church work with Indians--Society of Friends;Lay ministry--Society of Friends;Peace movements;Quakers;Society of Friends--Indian affairs;Ministers (Clergy);Society of Friends--Clergy;Society of Friends	New Garden Monthly Meeting (Society of Friends : Chester County, Pa.)	
w6sk2b2m	Jones, William, -1782	Male	Quakers;Clergy	Lay ministry--Society of Friends;Society of Friends--Clergy;Society of Friends;Quakers	Unknown	
w6r31rzq	Burroughs, Joseph, 1736-1814	Male	Quakers	Society of Friends;Quakers	Haddonfield Monthly Meeting of the Religious Society of Friends;Chester Monthly Meeting (Society of Friends : 1681-1827)	
w6nk4g54	Scattergood, Thomas, 1748-1814	Male	Quakers;Clergy	Society of Friends--Clergy;Lay ministry--Society of Friends;Quakers;Society of Friends	Monthly Meeting of Friends of Philadelphia for the Northern District	
w6wr0v4m	Woolman, John, 1720-1772	Male	Quakers;Ministers;Merchants--New Jersey;Tailors--New Jersey;Abolitionists--New Jersey;Executors and administrators--New Jersey	Quaker abolitionists;Slavery and the church--Society of Freinds;Antislavery movements;Dry-goods;Society of Friends--Clergy;Abolitionists;Quakers	Wilmington Monthly Meeting of Friends. Committee to Collect and Keep a Record of all Sufferings for the Testimony of Truth and to advise in cases of Difficulty.	
w6c931wj	Bassett, Deborah, 1765-1804	Female	Quakers;Clergy	Society of Friends;Quaker women;Lay ministry--Society of Friends;Quakers;Society of Friends--Clergy	Woodstown Monthly Meeting of the Religious Society of Friends;Salem Monthly Meeting (Society of Friends : 1676-1827)	
w6vf7pzj	Hunt, John, 1778-1824	Male	Quakers	Society of Friends;Quakers	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6hv3dnq	Evans, Elizabeth Warrington Haines, 1739-1805	Female	Quakers	Society of Friends;Quakers;Quaker women;Elders (Church officers)	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.);Chesterfield Monthly Meeting of the Religious Society of Friends;Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w64r0gvn	White, Josiah, 1705-1780	Male	Clergy;Quakers	Quakers;Lay ministry--Society of Friends;Society of Friends--Clergy;Herbalists;Society of Friends	Salem Monthly Meeting (Society of Friends : 1676-1827);Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w65v49t0	Foster, Hannah Core, 1710-1777	Female	Clergy;Women clergy;Quakers	Lay ministry--Society of Friends;Quakers;Society of Friends;Society of Friends--Clergy;Clergy--Travel	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6cz4d1t	Mifflin, Warner, 1745-1798	Male	Pacificists;Slaveholders;Quakers;Social reformers;Abolitionists	Peace movements;Quakers;Society of Friends;Reparations for historical injustices;Quaker abolitionists;Antislavery movements	Monthly Meeting of Friends of Philadelphia for the Northern District;Duck Creek Monthly Meeting (Society of Friends);Camden Monthly Meeting of Friends (Kent County, Del.)	
w65d92g1	Forster, William, 1784-1854	Male	Quakers;Clergy	Society of Friends--Clergy;Clergy--Travel;Voyages and travels;Quakers;Society of Friends;Lay ministry--Society of Friends	Unknown	
w6zx2b7v	Andrews, Isaac, 1749-1820	Male	Quakers	Quakers;Society of Friends	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6j20tr8	White, Samuel, 1742-1812	Male	Quakers	Quakers;Society of Friends	Unknown	
w66z02ks	Borton, Isaac, 1737-1807	Male	Quakers	Society of Friends;Quakers	Unknown	
w6n9820p	Hunt, John, 1740-1824	Male	Quakers;Farmers--New Jersey;Clergy	Society of Friends;Quakers;Lay ministry--Society of Friends	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.). Preparative Meeting of Ministers and Elders.;Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6n05cnp	Hunt, Joshua, 1753-1792	Male	Quakers	Quakers;Society of Friends	Unknown	
w6vv2hnp	Brown, Clayton, 1763-1847	Male	Clergy;Quakers	Society of Friends--Clergy;Society of Friends;Quakers;Lay ministry--Society of Friends	Unknown	
w61p2c7g	Valentine, Robert, 1717-1786	Male	Quakers;Clergy	Transatlantic voyages--History--18th century--Sources;Society of Friends;Lay ministry--Society of Friends;Quakers;Circuit riders--Archives;Oneida Indians--History--Sources;Society of Friends--Clergy;Clergy--Travel;Quaker women--Correspondence;Irish Americans--Archives;Quakers--Correspondence;Society of Friends--History--18th century--Sources;Travelers' writings, American;Fathers and daughters--Correspondence;Indians of North America--Wars--1750-1815--Sources;Voyages and travels;Quakers--Archives	Uwchlan Monthly Meeting (Society of Friends);Concord Monthly Meeting (Society of Friends)	
