title,source,first_term_type
emails,local,function
fraternities,lcsh,function
travel photography,aat,genre_form
lantern slides,aat,genre_form
tapa (bark cloth),aat,genre_form
biographies (documents),aat,genre_form
cartoons (humorous images),aat,genre_form
geological maps,aat,genre_form
field notes,aat,genre_form
poems,aat,genre_form
correspondence,aat,genre_form
photographs,aat,genre_form
account books,aat,genre_form
estate records,aat,genre_form
deeds,aat,genre_form
prayers (documents),aat,genre_form
obituaries,aat,genre_form
genealogical tables,aat,genre_form
autobiographies (documents),aat,genre_form
lecture notes,aat,genre_form
Operas,rbgenr,genre_form
scores,aat,genre_form
sketches,aat,genre_form
sound recordings,aat,genre_form
video recordings,aat,genre_form
awards,aat,genre_form
bookkeeping records,aat,genre_form
business records,aat,genre_form
financial records,aat,genre_form
pamphlets,aat,genre_form
photograph albums,aat,genre_form
trade catalogs,aat,genre_form
minutes (administrative records),aat,genre_form
speeches (documents),aat,genre_form
military passes,aat,genre_form
school records,aat,genre_form
postcards,aat,genre_form
marriage certificates,aat,genre_form
memorabilia,aat,genre_form
notebooks,aat,genre_form
negatives (photographs),aat,genre_form
newsletters,aat,genre_form
Reports,aat,genre_form
bylaws (administrative records),aat,genre_form
charters,aat,genre_form
constitutions,aat,genre_form
membership lists,aat,genre_form
souvenir programs,aat,genre_form
ephemera (general object genre),aat,genre_form
publications (documents),aat,genre_form
family papers,aat,genre_form
notes,aat,genre_form
annual reports,aat,genre_form
yearbooks,aat,genre_form
research notes,aat,genre_form
Itineraries,aat,genre_form
passports,aat,genre_form
commonplace books,aat,genre_form
manuscripts (documents),aat,genre_form
sculpture (visual works),aat,genre_form
letters (correspondence),aat,genre_form
maps (documents),aat,genre_form
posters,aat,genre_form
promotional materials,aat,genre_form
clippings (information artifacts),aat,genre_form
audiovisual materials,aat,genre_form
autograph albums,aat,genre_form
travel literature,aat,genre_form
cartes-de-visite (card photographs),aat,genre_form
tintypes (prints),aat,genre_form
cliché-verre (photographic process),aat,genre_form
stereographs,aat,genre_form
albums (books),aat,genre_form
pottery (visual works),aat,genre_form
reminiscences,aat,genre_form
drawings (visual works),aat,genre_form
satires (document genre),aat,genre_form
bibliographies,aat,genre_form
caricatures,aat,genre_form
indexes (reference sources),aat,genre_form
portfolios (groups of works),aat,genre_form
cookbooks,aat,genre_form
almanacs,aat,genre_form
book catalogs,aat,genre_form
genealogies (histories),aat,genre_form
portraits,aat,genre_form
indentures,aat,genre_form
extracts,aat,genre_form
pocket books (books),aat,genre_form
diaries,aat,genre_form
songbooks,aat,genre_form
Autographs -- New York (State) -- Collections,ingest,genre_form
certificates,aat,genre_form
theater programs,aat,genre_form
essays,aat,genre_form
autographs (manuscripts),aat,genre_form
surveys (documents),aat,genre_form
envelopes,aat,genre_form
illustrations (layout features),aat,genre_form
Diaries,lcsh,genre_form
Advertising cards,gmgpc,genre_form
Personal correspondence,lcgft.,genre_form
Epistles,gmgpc,genre_form
artifacts (object genre),aat,genre_form
calendars (documents),aat,genre_form
Oral histories,lcgft.,genre_form
daguerreotypes (photographs),aat,genre_form
time capsules,aat,genre_form
cashbooks,aat,genre_form
receipts (financial records),aat,genre_form
orations,aat,genre_form
visitors' books,aat,genre_form
journals (accounts),aat,genre_form
memoirs,local,genre_form
typescript,local,genre_form
letter books,aat,genre_form
memorandums,aat,genre_form
China -- History -- 20th Century,lcsh,geographic
Pennsylvania -- Politics and Government -- 1865-1950,lcsh,geographic
"China -- History -- Republic, 1912-1949",lcsh,geographic
Huntingdon County (Pa.),lcsh,geographic
Bergen County (N.J.),lcsh,geographic
Iran,lcsh,geographic
Lakeville (Conn.),lcsh,geographic
Northfield (Mass.),lcsh,geographic
Vevey (Switzerland),lcsh,geographic
Interlaken (Switzerland),lcsh,geographic
Lucerne Lake (Switzerland),lcsh,geographic
Venice (Italy),lcsh,geographic
Florence (Italy),lcsh,geographic
Perugia (Italy),lcsh,geographic
Rome (Italy),lcsh,geographic
Naples (Italy),lcsh,geographic
Sorrento (Italy),lcsh,geographic
Sicily (Italy),lcnaf,geographic
Palermo (Italy),lcsh,geographic
Cannes (France),lcsh,geographic
Nags Head Woods (N.C.),lcsh,geographic
England,lcsh,geographic
France,lcsh,geographic
India,lcsh,geographic
Africa,lcsh,geographic
China,lcsh,geographic
Ghana,lcsh,geographic
South Africa,lcsh,geographic
Laos,lcsh,geographic
Mexico,lcsh,geographic
Cuba,lcsh,geographic
Kenya,lcsh,geographic
Côte d'Ivoire,lcsh,geographic
Cameroon,lcsh,geographic
